Model,Final Train Loss,Final Train Acc,Final Val Loss,Final Val Acc,Best Val Acc,Best Train Acc,Epochs
Max Pooling,0.264757836633443,90.0,2.194686586481666,55.58375634517766,57.10659898477157,90.0,25.0
Hybrid Pooling,0.2240971049728709,91.42857142857144,2.130754664162089,61.6751269035533,62.69035532994924,91.9163763066202,25.0
