epoch,train_loss,train_acc,val_loss,val_acc
1,1.9109272146474194,49.58188153310105,1.923707893052077,28.680203045685282
2,0.9835213289443624,58.88501742160279,2.2618956142270625,32.99492385786802
3,0.9091230343443176,61.637630662020904,1.8172285496280882,33.50253807106599
4,0.8042650218624686,66.02787456445994,1.9394581378413942,33.756345177664976
5,0.7195452625743188,69.93031358885018,2.8393559849201724,44.67005076142132
6,0.5484716137942537,78.81533101045297,2.1595721347682972,45.68527918781726
7,0.4624420652406141,82.05574912891987,1.9887620737104852,50.50761421319797
8,0.4240712082837724,83.62369337979094,2.1418295632764166,51.26903553299492
9,0.39399381024496893,84.8432055749129,1.9788882623469164,54.568527918781726
10,0.36380982338759127,86.55052264808363,2.2695399537909453,53.80710659898477
11,0.30506089092183614,88.15331010452961,2.260924875433675,54.568527918781726
12,0.2945783890913588,88.397212543554,2.0983338598067385,56.598984771573605
13,0.2887495185232329,88.60627177700349,2.191866714942274,56.34517766497462
14,0.27591625336778286,89.58188153310105,2.2163036577592647,56.09137055837563
15,0.286702502604561,88.81533101045295,2.157204327849567,57.10659898477157
16,0.2776841513475059,89.05923344947735,2.1693465848864637,57.10659898477157
17,0.27655521845152986,88.88501742160278,2.155694545223023,56.598984771573605
18,0.26739882540204385,89.75609756097562,2.1284670436442807,56.852791878172596
19,0.27541689415841986,89.72125435540069,2.1511366911951058,55.58375634517766
20,0.26483511244066915,89.72125435540069,2.1371770709904316,56.598984771573605
21,0.26689791710534577,89.05923344947735,2.1751911779345594,56.34517766497462
22,0.26804711111538915,89.58188153310105,2.135363235086354,56.34517766497462
23,0.2743640904850245,89.65156794425087,2.1524360730563323,56.09137055837563
24,0.28013223851495506,89.09407665505226,2.2103525079446396,56.09137055837563
25,0.264757836633443,90.0,2.194686586481666,55.58375634517766
